STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
        853;2022011116:16;    1;   -999;    1.0;    1.0;   4;    93.57;2022011117:00;eor
        853;2022011117:16;    1;   -999;    0.0;    0.0;   0;   102.13;2022011118:00;eor
        853;2022011118:16;    1;   -999;    0.0;    0.0;   0;   111.31;2022011119:00;eor
        853;2022011119:16;    1;   -999;    0.0;    0.0;   0;   120.76;2022011120:00;eor
        853;2022011120:16;    1;   -999;    0.0;    0.0;   0;   130.10;2022011121:00;eor
        853;2022011121:16;    1;   -999;    0.0;    0.0;   0;   138.81;2022011122:00;eor
        853;2022011122:16;    1;   -999;    0.0;    0.0;   0;   146.01;2022011123:00;eor
        853;2022011123:16;    1;   -999;    0.0;    0.0;   0;   150.31;2022011200:00;eor
        853;2022011200:16;    1;   -999;    0.0;    0.0;   0;   150.30;2022011201:00;eor
        853;2022011201:16;    1;   -999;    0.0;    0.0;   0;   145.99;2022011202:00;eor
        853;2022011202:16;    1;   -999;    0.0;    0.0;   0;   138.78;2022011203:00;eor
        853;2022011203:16;    1;   -999;    0.0;    0.0;   0;   130.07;2022011204:00;eor
        853;2022011204:16;    1;   -999;    0.0;    0.0;   0;   120.71;2022011205:00;eor
        853;2022011205:16;    1;   -999;    0.0;    0.0;   0;   111.26;2022011206:00;eor
        853;2022011206:16;    1;   -999;    0.0;    0.0;   0;   102.07;2022011207:00;eor
        853;2022011207:16;    1;   -999;    1.0;    1.0;   0;    93.49;2022011208:00;eor
        853;2022011208:16;    1;   -999;   13.0;   13.0;   0;    85.86;2022011209:00;eor
        853;2022011209:16;    1;   -999;   21.0;   21.0;   0;    79.59;2022011210:00;eor
        853;2022011210:16;    1;   -999;   48.0;   51.0;   3;    75.08;2022011211:00;eor
        853;2022011211:16;    1;   -999;   52.0;   63.0;   4;    72.70;2022011212:00;eor
        853;2022011212:16;    1;   -999;   39.0;   81.0;  50;    72.69;2022011213:00;eor
        853;2022011213:16;    1;   -999;   49.0;   60.0;  24;    75.06;2022011214:00;eor
        853;2022011214:16;    1;   -999;   31.0;   31.0;   0;    79.56;2022011215:00;eor
        853;2022011215:16;    1;   -999;   10.0;   10.0;   0;    85.82;2022011216:00;eor
        853;2022011216:16;    1;   -999;    0.0;    0.0;   0;    93.44;2022011217:00;eor
        853;2022011217:16;    1;   -999;    0.0;    0.0;   0;   102.01;2022011218:00;eor
        853;2022011218:16;    1;   -999;    0.0;    0.0;   0;   111.19;2022011219:00;eor
        853;2022011219:16;    1;   -999;    0.0;    0.0;   0;   120.64;2022011220:00;eor
        853;2022011220:16;    1;   -999;    0.0;    0.0;   0;   129.98;2022011221:00;eor
        853;2022011221:16;    1;   -999;    0.0;    0.0;   0;   138.67;2022011222:00;eor
        853;2022011222:16;    1;   -999;    0.0;    0.0;   0;   145.86;2022011223:00;eor
        853;2022011223:17;    1;   -999;    0.0;    0.0;   0;   150.15;2022011300:00;eor
        853;2022011300:17;    1;   -999;    0.0;    0.0;   0;   150.14;2022011301:00;eor
        853;2022011301:17;    1;   -999;    0.0;    0.0;   0;   145.84;2022011302:00;eor
        853;2022011302:17;    1;   -999;    0.0;    0.0;   0;   138.64;2022011303:00;eor
        853;2022011303:17;    1;   -999;    0.0;    0.0;   0;   129.94;2022011304:00;eor
        853;2022011304:17;    1;   -999;    0.0;    0.0;   0;   120.59;2022011305:00;eor
        853;2022011305:17;    1;   -999;    0.0;    0.0;   0;   111.13;2022011306:00;eor
        853;2022011306:17;    1;   -999;    0.0;    0.0;   0;   101.94;2022011307:00;eor
        853;2022011307:17;    1;   -999;    0.0;    0.0;   0;    93.35;2022011308:00;eor
        853;2022011308:17;    1;   -999;    8.0;    8.0;   0;    85.72;2022011309:00;eor
        853;2022011309:17;    1;   -999;   28.0;   44.0;  13;    79.43;2022011310:00;eor
        853;2022011310:17;    1;   -999;   65.0;   89.0;  44;    74.91;2022011311:00;eor
        853;2022011311:17;    1;   -999;   66.0;   85.0;  54;    72.53;2022011312:00;eor
        853;2022011312:17;    1;   -999;   64.0;   68.0;  18;    72.53;2022011313:00;eor
        853;2022011313:17;    1;   -999;   57.0;   63.0;  19;    74.89;2022011314:00;eor
        853;2022011314:17;    1;   -999;   32.0;   33.0;   3;    79.40;2022011315:00;eor
        853;2022011315:17;    1;   -999;   13.0;   13.0;   0;    85.67;2022011316:00;eor
        853;2022011316:17;    1;   -999;    0.0;    0.0;   0;    93.30;2022011317:00;eor
        853;2022011317:17;    1;   -999;    0.0;    0.0;   0;   101.88;2022011318:00;eor
        853;2022011318:17;    1;   -999;    0.0;    0.0;   0;   111.06;2022011319:00;eor
        853;2022011319:17;    1;   -999;    0.0;    0.0;   0;   120.51;2022011320:00;eor
        853;2022011320:17;    1;   -999;    0.0;    0.0;   0;   129.85;2022011321:00;eor
        853;2022011321:17;    1;   -999;    0.0;    0.0;   0;   138.53;2022011322:00;eor
        853;2022011322:17;    1;   -999;    0.0;    0.0;   0;   145.70;2022011323:00;eor
        853;2022011323:17;    1;   -999;    0.0;    0.0;   0;   149.98;2022011400:00;eor
        853;2022011400:17;    1;   -999;    0.0;    0.0;   0;   149.97;2022011401:00;eor
        853;2022011401:17;    1;   -999;    0.0;    0.0;   0;   145.68;2022011402:00;eor
        853;2022011402:17;    1;   -999;    0.0;    0.0;   0;   138.50;2022011403:00;eor
        853;2022011403:17;    1;   -999;    0.0;    0.0;   0;   129.81;2022011404:00;eor
        853;2022011404:17;    1;   -999;    0.0;    0.0;   0;   120.47;2022011405:00;eor
        853;2022011405:17;    1;   -999;    0.0;    0.0;   0;   111.00;2022011406:00;eor
        853;2022011406:17;    1;   -999;    0.0;    0.0;   0;   101.81;2022011407:00;eor
        853;2022011407:17;    1;   -999;    1.0;    1.0;   0;    93.21;2022011408:00;eor
        853;2022011408:17;    1;   -999;    8.0;   18.0;  39;    85.57;2022011409:00;eor
        853;2022011409:17;    1;   -999;   14.0;   55.0;  56;    79.27;2022011410:00;eor
        853;2022011410:17;    1;   -999;   20.0;   94.0;  60;    74.74;2022011411:00;eor
        853;2022011411:17;    1;   -999;   37.0;   42.0;  18;    72.36;2022011412:00;eor
        853;2022011412:17;    1;   -999;   33.0;   33.0;   0;    72.35;2022011413:00;eor
        853;2022011413:17;    1;   -999;   19.0;   19.0;   0;    74.72;2022011414:00;eor
        853;2022011414:17;    1;   -999;   21.0;   21.0;   0;    79.24;2022011415:00;eor
        853;2022011415:17;    1;   -999;    7.0;    7.0;   0;    85.52;2022011416:00;eor
        853;2022011416:17;    1;   -999;    0.0;    1.0;   0;    93.15;2022011417:00;eor
        853;2022011417:17;    1;   -999;    0.0;    0.0;   0;   101.74;2022011418:00;eor
        853;2022011418:17;    1;   -999;    0.0;    0.0;   0;   110.93;2022011419:00;eor
        853;2022011419:17;    1;   -999;    0.0;    0.0;   0;   120.38;2022011420:00;eor
        853;2022011420:17;    1;   -999;    0.0;    0.0;   0;   129.71;2022011421:00;eor
        853;2022011421:17;    1;   -999;    0.0;    0.0;   0;   138.39;2022011422:00;eor
        853;2022011422:17;    1;   -999;    0.0;    0.0;   0;   145.54;2022011423:00;eor
        853;2022011423:17;    1;   -999;    0.0;    0.0;   0;   149.80;2022011500:00;eor
        853;2022011500:17;    1;   -999;    0.0;    0.0;   0;   149.80;2022011501:00;eor
        853;2022011501:17;    1;   -999;    0.0;    0.0;   0;   145.52;2022011502:00;eor
        853;2022011502:17;    1;   -999;    0.0;    0.0;   0;   138.36;2022011503:00;eor
        853;2022011503:17;    1;   -999;    0.0;    0.0;   0;   129.67;2022011504:00;eor
        853;2022011504:17;    1;   -999;    0.0;    0.0;   0;   120.33;2022011505:00;eor
        853;2022011505:17;    1;   -999;    0.0;    0.0;   0;   110.87;2022011506:00;eor
        853;2022011506:17;    1;   -999;    0.0;    0.0;   0;   101.67;2022011507:00;eor
        853;2022011507:17;    1;   -999;    1.0;    1.0;   0;    93.06;2022011508:00;eor
        853;2022011508:17;    1;   -999;    6.0;    6.0;   0;    85.41;2022011509:00;eor
        853;2022011509:17;    1;   -999;   14.0;   14.0;   0;    79.11;2022011510:00;eor
        853;2022011510:17;    1;   -999;   21.0;   21.0;   0;    74.57;2022011511:00;eor
        853;2022011511:17;    1;   -999;   26.0;   26.0;   0;    72.18;2022011512:00;eor
        853;2022011512:17;    1;   -999;   28.0;   28.0;   0;    72.17;2022011513:00;eor
        853;2022011513:17;    1;   -999;   28.0;   28.0;   0;    74.55;2022011514:00;eor
        853;2022011514:17;    1;   -999;   31.0;   31.0;   2;    79.07;2022011515:00;eor
